id;label;Latitude;Longitude;status
1103;"Boa Vista";16.136531;-22.888897;healthy
1104;"Maio";15.155928;-23.213703;healthy
1105;"Sao Nocolau Island";16.588356;-24.284656;healthy
1106;"Sao Vicente Island";16.833689;-25.054661;healthy
1107;"Addis Ababa";8.977889;38.799319;healthy
1109;"Arba Minch";6.039389;37.590453;healthy
1110;"Axum";14.14675;38.772833;healthy
1111;"Bahar Dar";11.608075;37.321644;healthy
1112;"Dire Dawa";9.6247;41.854203;healthy
1113;"Gambella";8.128764;34.563131;healthy
1114;"Gondar";12.5199;37.434047;healthy
1116;"Jimma";7.666094;36.816639;healthy
1117;"Lalibella";11.975014;38.979969;healthy
1118;"Makale";13.467367;39.533464;healthy
1119;"Asosa";10.01855;34.586253;healthy
1120;"Bujumbura";-3.324019;29.318519;healthy
1121;"Hargeisa";9.518167;44.088758;healthy
1122;"Berbera";10.389167;44.941106;healthy
1127;"Abu Simbel";22.375953;31.611722;healthy
1128;"Cairo";30.121944;31.405556;healthy
1130;"Hurghada";27.178317;33.799436;healthy
1132;"Luxor";25.671028;32.706583;healthy
1136;"Aswan";23.964356;32.819975;healthy
1138;"Eldoret";0.404458;35.238928;healthy
1140;"Kisumu";-0.086139;34.728892;healthy
1141;"Kitale";0.971989;34.958556;healthy
1143;"Lodwar";3.121967;35.608692;healthy
1144;"Lamu";-2.252417;40.913097;healthy
1145;"Mombasa";-4.034833;39.59425;healthy
1147;"Nairobi";-1.321719;36.814833;healthy
1149;"Wajir";1.733239;40.091606;healthy
1152;"Ghat";25.145564;10.142647;healthy
1153;"Kufra";24.178728;23.313958;healthy
1154;"Benghazi";32.096786;20.269472;healthy
1157;"Tripoli";32.663544;13.159011;healthy
1162;"Ghadames";30.151695;9.715305;healthy
1165;"Kigali";-1.968628;30.13945;healthy
1166;"Kamembe";-2.462242;28.90795;healthy
1169;"El Fasher";13.614892;25.32465;healthy
1173;"Juba";4.872006;31.601117;healthy
1175;"Khartoum";15.589497;32.553161;healthy
1176;"Arusha";-3.367794;36.633333;healthy
1177;"Dar Es Salaam";-6.878111;39.202625;healthy
1180;"Kilimanjaro";-3.429406;37.074461;healthy
1182;"Mtwara";-10.339058;40.181781;healthy
1183;"Mwanza";-2.444486;32.932667;healthy
1186;"Zanzibar";-6.222025;39.224886;healthy
1187;"Entebbe";0.042386;32.443503;healthy
1190;"Tirana";41.414742;19.720561;healthy
1191;"Bourgas";42.569583;27.515236;healthy
1193;"Plovdiv";42.067806;24.850833;healthy
1194;"Sofia";42.695194;23.406167;healthy
1196;"Varna";43.232072;27.825106;healthy
1197;"Larnaca";34.875117;33.62485;healthy
1198;"Paphos";34.718039;32.485731;healthy
1200;"Dubrovnik";42.561353;18.268244;healthy
1202;"Osijek";45.462667;18.810156;healthy
1203;"Pula";44.893533;13.922192;healthy
1205;"Rijeka";45.216889;14.570267;healthy
1206;"Split";43.538944;16.297964;healthy
1208;"Zagreb";45.742931;16.068778;healthy
1209;"Zadar";44.108269;15.346697;healthy
1212;"Alicante";38.282169;-0.558156;healthy
1213;"Almeria";36.843936;-2.370097;healthy
1214;"Aviles";43.563567;-6.034622;healthy
1216;"Bilbao";43.301097;-2.910608;healthy
1218;"Barcelona";41.297078;2.078464;healthy
1219;"Badajoz";38.89125;-6.821333;healthy
1220;"La Coruna";43.302061;-8.377256;healthy
1222;"Gerona";41.900969;2.760547;healthy
1223;"Granada";37.188731;-3.777356;healthy
1225;"Ibiza";38.872858;1.373117;healthy
1226;"Jerez";36.744622;-6.060111;healthy
1227;"Murcia";37.774972;-0.812389;healthy
1229;"Madrid";40.493556;-3.566764;healthy
1230;"Malaga";36.6749;-4.499106;healthy
1231;"Menorca";39.862597;4.218647;healthy
1234;"Pamplona";42.770039;-1.646331;healthy
1236;"Reus";41.147392;1.167172;healthy
1238;"Salamanca";40.952117;-5.501986;healthy
1242;"San Sebastian";43.356519;-1.790611;healthy
